Name,M/F/H,Date,Habitat Score,COC
Tiger Creek: E. Woods St.,Fish,6/29/2016,,9601
Travertine Creek:  Central Campground,Fish,8/25/2003,107,
Trib to Coody Creek: Robison Park,Fish,8/4/2021,,10776
Trib. To N. Canadian River: Chisholm Trail Park,Fish,7/23/2019,,10311
Trib. To Twin Hills Creek: S. 71st E. Ave.,Fish,7/30/2013,,8576
Turkey Creek,Fish,6/21/2021,,10776
Turkey Creek,Fish,8/3/2016,,9601
Twin Hills Creek: E 121st St. S.,Fish,8/25/2021,,10777
Unnamed Trib to Arkansas River,Fish,6/19/2017,,9613
Vensel Creek:  91st Street South,Fish,10/1/1996,,
Wall Trip Branch:  Chicken Creek,Fish,7/18/2008,,
Walnut Creek Trib:  Rockwell Avenue,Fish,7/7/2010,,
Walnut Creek:  Purcell,Fish,8/8/2006,,
Washita River:  Black Kettle,Fish,6/23/2009,,
Washita River:  Black Kettle,Fish,9/29/2004,,
Washita River:  McClure (N 2070),Fish,6/22/2009,,
Washita River:  McClure (N 2070),Fish,9/28/2004,,
Washita River:  Riverside,Fish,9/28/2005,,
West Cache Creek,Fish,7/14/2023,,11201
West Cache Creek,Fish,7/11/2019,,10311
West Cache Creek:  Boulder Picnic Area,Fish,7/16/2009,,
West Cache Creek:  Boulder Picnic Area,Fish,7/14/2009,,
West Cache Creek:  Boulder Picnic Area,Fish,9/27/2005,94,
West Captain Trib:  Harrah Road,Fish,6/22/2006,,
West Elm Creek:  S. Douglas,Fish,8/29/2018,,10052
West Elm Creek:  S. Douglas,Fish,7/15/2015,,9297
West Elm Creek:  S. Douglas,Fish,7/15/2015,,9297
West Elm Creek:  S.E. 164th,Fish,7/28/2010,,
West Elm Creek:  S.E. 164th,Fish,6/30/2006,,
West Elm Creek:  SE 149th,Fish,8/18/2005,82,
