Name,M/F/H,Date,Habitat Score,COC
Fred Creek: Evanston,Fish,6/30/2015,,9297.0
Fred Creek: Evanston,Fish,8/16/2007,,
Fred Creek: Evanston,Fish,7/23/1999,,
Fred Creek: Evanston,Fish,10/14/1996,,
Fry Creek: Holland Hall,Fish,6/4/1998,,
Gobbler Creek Trib.: EW 132 Road,Fish,6/24/2010,,
Guy James Creek: NW Eubanks St.,Fish,6/14/2018,,10051.0
Guy James Creek: NW Eubanks St.,Fish,8/29/2014,,8968.0
Guy Sandy Creek,Fish,6/9/2020,,10564.0
Hagar Creek: E 91st St S,Fish,6/24/2024,,11412.0
Haikey Creek Trib: Wolf Creek Park Bridge,Fish,6/3/2021,,10776.0
Haikey Creek Tributary: 129th Street East,Fish,10/1/1996,,
Haikey Creek: 121st Street,Fish,7/25/2007,,
Haikey Creek: 121st Street,Fish,8/26/2002,100.0,
Haikey Creek: 121st Street,Fish,7/22/1999,,
Haikey Creek: 121st Street,Fish,10/16/1996,,
Harlow Creek: Edison,Fish,7/24/2021,,10776.0
Harlow Creek: Edison,Fish,6/8/2006,,
Harlow Trib: Golden Acres,Fish,6/21/2012,,8043.0
Harlow Trib: Golden Acres,Fish,7/26/2007,,
Hog Creek: SE 149th,Fish,6/19/2024,,11412.0
Hog Creek: SE 149th,Fish,7/5/2018,,10051.0
Honey Creek: Berry Bluff,Fish,8/27/2002,117.0,
Honey Creek: Needham,Fish,8/18/2004,,
Jessie Creek: Hwy 123,Fish,7/30/2024,,11412.0
Jimmy Creek: Prose,Fish,5/27/2014,,8964.0
Jimmy Creek: Prose,Fish,8/8/2007,,
Lake Creek: Wintersmith Bridge,Fish,6/19/2020,,10564.0
Lake Creek: Wintersmith Bridge,Fish,8/5/2015,,9297.0
Lake Creek: Wintersmith Bridge,Fish,7/28/2011,,
Lake Parthenia,Fish,9/1/1995,,
Lariat Creek: E 940 (American Horse Road),Fish,6/18/2009,,
Little Beaver Creek: E 0030 Road,Fish,9/7/2004,,
"Little Deep Creek: Weatherford, Upstream of Treat",Fish,9/1/2023,,11202.0
"Little Deep Creek: Weatherford, Upstream of Treat",Fish,7/25/2019,,10311.0
"Little Deep Creek: Weatherford, Upstream of Treat",Fish,6/27/2014,,8964.0
"Little Deep Creek: Weatherford, Upstream of Treat",Fish,7/20/2010,,
"Little Deep Creek: Weatherford, Upstream of Treat",Fish,8/17/2006,,
Little Deep Fork (2): N 3650,Fish,8/15/2003,93.0,
Little Deep Fork: Hwy 48,Fish,8/27/2010,,
Little Deep Fork: Hwy 48,Fish,9/5/2002,87.0,
Little Joe Creek: LaFortune,Fish,8/14/2007,,
Little Joe Trib: Explorer Park,Fish,10/1/1996,,
Little Mountain Creek: N 4660,Fish,8/9/2011,,
Little Mountain Creek: N 4660,Fish,8/2/2007,,
Little Polecat Creek: Jones,Fish,6/17/2010,,
Little River: SW 34th St.,Fish,7/19/2018,,10051.0
Little River: SW 34th St.,Fish,7/7/2014,,8964.0
Little River: Little River Park,Fish,7/31/2023,,11202.0
Little Sandy Creek: Chamber Loop,Fish,8/4/2015,,9297.0
Little Sandy Creek: Chamber Loop,Fish,6/10/2010,,
Little Sandy Creek: Chamber Loop,Fish,9/20/2006,,
Little Sandy Creek: Hwy 99,Fish,6/11/2020,,10564.0
Little Sandy Creek: Hwy 99,Fish,7/22/2010,,
Little Sandy Creek: Hwy 99,Fish,9/21/2006,,
Little Stillwater Creek: Hwy 51,Fish,6/30/2009,,
Little Wewoka Creek,Fish,6/14/2024,,11412.0
Little Wewoka Creek,Fish,7/16/2018,,10051.0
Lost Creek,Fish,9/19/2001,94.0,
Lost Creek: Woody,Fish,7/27/2009,,
Lost Creek: Woody,Fish,6/15/2009,,
Medicine Creek: Apache (Stayer),Fish,8/6/2014,,8968.0
Medicine Creek: Apache (Stayer),Fish,8/7/2007,,
Merkle Creek: Brooks Street,Fish,6/28/2012,,8043.0
Middle Creek: Buzzard Roost Ranch,Fish,7/2/2018,,10051.0
Mill Creek: McClure Park,Fish,7/23/2007,,
Mill Creek: McClure Park,Fish,8/19/2002,79.0,
Mill Creek: McClure Park,Fish,6/5/1998,,
Mill Creek: N Daube Ranch Road,Fish,7/21/2010,,
Mingo Creek: 46th Street North,Fish,8/11/2021,,10777.0
Mingo Creek: 46th Street North,Fish,8/24/2016,,9601.0
Mingo Creek: 46th Street North,Fish,8/17/2007,,
Mingo Creek: 46th Street North,Fish,8/25/2004,,
Minnehaha Creek: Canton,Fish,6/26/2009,,
Mooser Creek Trib: Riverfield School,fish,9/25/2024,,11486.0
Mooser Creek: Elwood,Fish,6/3/1998,,
Mooser Creek: Pepsi,Fish,6/25/2024,,11412.0
Mooser Creek: Pepsi,Fish,7/8/2020,,10564.0
Mooser Creek: Pepsi,Fish,6/29/2015,,9297.0
Mooser Creek: Pepsi,Fish,6/29/2015,,9297.0
Mooser Creek: Pepsi,Fish,6/28/2010,,
Mooser Creek: Pepsi,Fish,6/15/2006,,
Mooser Creek: Pepsi,Fish,8/6/2003,94.0,
Mooser Creek: Riverfield,Fish,6/2/1998,,
Mooser Creek: South Haven,Fish,8/4/2003,102.0,
Mooser Creek: South Haven,Fish,6/1/1998,,
Morris Creek: Gillham,Fish,7/26/2022,,10997.0
Morris Creek: Gillham,Fish,8/2/2018,,10052.0
Mountain Creek: D 4655 (Kennedy Bridge),Fish,8/9/2011,,
Mountain Creek: E 1400 Rd (Shiloh Crossing),Fish,8/10/2011,,
Mud Creek: E 2170 Road,Fish,6/28/2011,,
Mud Creek: E 2170 Road,Fish,9/1/2005,84.0,
Mustang Creek: Morgan Road,Fish,7/9/2019,,10311.0
Mustang Creek: Morgan Road,Fish,7/17/2009,,
Mustang Creek: Morgan Road,Fish,6/20/2005,74.0,
Nickel Creek: 91st Street,Fish,6/27/2024,,11412.0
Nickel Creek: 91st Street,Fish,6/21/2021,,10776.0
Nickel Creek: 91st Street,Fish,8/17/2015,,9353.0
Nickel Creek: 91st Street,Fish,6/29/2010,,
Nickel Creek: 91st Street,Fish,6/14/2006,,
Nickel Creek: 91st Street,Fish,7/27/1999,,
Nickel Creek: 91st Street,Fish,10/15/1996,,
"North Canadian River: Lake Road, Shawnee",Fish,8/31/1999,,
North Fork Creek: Estates Park bridge,Fish,6/27/2012,,8043.0
Northeast Creek: MetroTech,Fish,7/9/2018,,10051.0
Okmulgee Creek: 13th St.,Fish,7/22/2021,,10776.0
Owasso Creek,Fish,6/2/2021,,10776.0
Oxbow Lake: Acme Road,Fish,8/31/1999,,
Panther Creek: Hwy 49,Fish,6/10/2009,,
Panther Creek: Hwy 49,Fish,9/26/2005,83.0,
Park Hill Branch Creek: Murrell Home,Fish,8/30/2017,,9613.0
Park Hill Branch Creek: Murrell Home,Fish,7/9/2013,,8541.0
Park Hill Branch Creek: Murrell Home,Fish,8/5/2009,,
Park Hill Branch: Parkhill Rd.,Fish,6/12/2013,,8541.0
Pennington Creek: West Road Trail,Fish,6/20/2012,,8043.0
Polecat Creek: 33rd West,Fish,7/10/2006,,
Polecat Creek: 33rd West,Fish,7/5/2006,,
Polecat Creek: 33rd West,Fish,6/27/2001,74.0,
Polecat Creek: 33rd West,Fish,10/15/1996,,
Polecat Creek: 49th West Avenue,Fish,7/26/2010,,
Posey Creek: Sandusky Avenue,Fish,8/23/2007,,
